id,location,position,experience,e_none,e_sma,e_smu/smk/stm,e_sp,e_d3,e_d4,e_s1,e_dp,e_gp,e_s2,e_s3,type,gig1,gig2,perks,turn_time,size,industry,salary
23333,Jakarta Utara,Pegawai (non-manajemen & non-supervisor),2,0,0,0,0,0,0,1,1,1,1,0,Penuh Waktu,Pemasaran/Pengembangan Bisnis,Penjualan / Pemasaran,"Asuransi Gigi,Tunjangan Pendidikan,Tip,Asuransi kesehatan,Pinjaman,Olahraga (contoh: pusat kebugaran),Parkir,Penglihatan,Bisnis (contoh: Kemeja),",29,5000,Automobil/Mesin Tambahan Automotif/Kendaraan,7150000.0
19272,Singkawang,Pegawai (non-manajemen & non-supervisor),1,0,1,1,1,1,1,1,0,0,0,0,Penuh Waktu,Penjualan Ritel,Penjualan / Pemasaran,"Kasual (contoh: Kaos),",21,200,Komputer/Teknik Informatika (Perangkat Keras),8000000.0
30060,Jakarta Selatan,Pegawai (non-manajemen & non-supervisor),2,0,0,0,1,1,1,1,0,0,0,0,Penuh Waktu,Penjualan - Korporasi,Penjualan / Pemasaran,"Waktu regular, Senin - Jumat,Bisnis (contoh: Kemeja),",20,200,Umum & Grosir,8400000.0
28558,Sidoarjo,Pegawai (non-manajemen & non-supervisor),1,0,0,0,0,0,0,1,0,0,0,0,Kontrak,Sumber Daya Manusia / HR,Sumber Daya Manusia/Personalia,",",28,50,Umum & Grosir,4370000.0
18663,Depok,Supervisor/Koordinator,1,0,0,0,1,1,1,1,0,0,0,0,Kontrak,Lainnya/Kategori tidak tersedia,Lainnya,"Bisnis (contoh: Kemeja),",,500,Kesehatan/Medis,3600000.0
28312,Malang,Pegawai (non-manajemen & non-supervisor),1,0,1,1,1,1,1,0,0,0,0,0,Kontrak,Penjualan Ritel,Penjualan / Pemasaran,"Bisnis (contoh: Kemeja),Senin-Sabtu,",9,200,Makanan & Minuman/Katering/Restoran,3250000.0
19594,Kalimantan Barat,Pegawai (non-manajemen & non-supervisor),1,0,1,1,1,1,1,1,0,0,0,0,Penuh Waktu,Penjualan Ritel,Penjualan / Pemasaran,",",24,5000,Manajemen/Konsulting HR,5000000.0
14241,Tangerang,Pegawai (non-manajemen & non-supervisor),2,0,0,0,1,1,1,1,0,0,0,0,Kontrak,Pembelian/Manajemen Material,Manufaktur,"Tip,Asuransi kesehatan,Bisnis (contoh: Kemeja),",26,1000,Lingkungan/Kesehatan/Keamanan,4320000.0
27329,Tangerang,Pegawai (non-manajemen & non-supervisor),1,0,1,1,0,0,0,0,0,0,0,0,Penuh Waktu,Staf / Administrasi umum,Sumber Daya Manusia/Personalia,"Tunjangan Pendidikan,Waktu regular, Senin - Jumat,",21,50,Umum & Grosir,3600000.0
22690,Jakarta Raya,CEO/GM/Direktur/Manajer Senior,20,0,0,0,0,0,0,0,1,1,1,0,Penuh Waktu,Logistik/Rantai Pasokan,Pelayanan,",",,,,60000000.0
9324,Surabaya,Pegawai (non-manajemen & non-supervisor),1,0,0,0,1,1,1,1,0,0,0,0,Penuh Waktu,Penjualan - Jasa Keuangan,Penjualan / Pemasaran,"Asuransi kesehatan,Waktu regular, Senin - Jumat,Formil (contoh: Kemeja + Dasi),",14,500,Asuransi,4100000.0
2578,Kalimantan Utara,Pegawai (non-manajemen & non-supervisor),2,0,0,0,1,1,1,1,0,0,0,0,Penuh Waktu,Penjualan - Jasa Keuangan,Penjualan / Pemasaran,"Tip,Asuransi kesehatan,Waktu regular, Senin - Jumat,Formil (contoh: Kemeja + Dasi),",27,1000,Perbankan/Pelayanan Keuangan,2880000.0
3694,Jakarta Barat,Pegawai (non-manajemen & non-supervisor),1,0,0,0,0,0,0,1,1,1,1,0,Penuh Waktu,Sumber Daya Manusia / HR,Sumber Daya Manusia/Personalia,"Parkir,Kasual (contoh: Kaos),",10,50,Retail/Merchandise,5350000.0
24293,Cirebon,Pegawai (non-manajemen & non-supervisor),1,0,1,1,1,1,1,1,0,0,0,0,Kontrak,Penjualan Ritel,Penjualan / Pemasaran,"Tip,Asuransi kesehatan,Pinjaman,Parkir,Bisnis (contoh: Kemeja),",4,1000,Elektrikal & Elektronik,4550000.0
23163,Jawa Timur,Pegawai (non-manajemen & non-supervisor),1,0,1,1,0,0,0,0,0,0,0,0,Kontrak,Periklanan,Seni/Media/Komunikasi,"Kasual (contoh: Kaos),",26,50,Kesehatan/Medis,1150000.0
12033,Malang,Pegawai (non-manajemen & non-supervisor),2,0,0,0,1,1,1,1,0,0,0,0,Penuh Waktu,Penjualan Ritel,Penjualan / Pemasaran,"Asuransi kesehatan,Bisnis (contoh: Kemeja),Monday-Saturday,",8,500,Kesehatan/Medis,3250000.0
9295,Cikupa,Pegawai (non-manajemen & non-supervisor),2,1,0,0,0,0,0,0,0,0,0,0,Penuh Waktu,Sumber Daya Manusia / HR,Sumber Daya Manusia/Personalia,"Asuransi kesehatan,Kasual (contoh: Kaos),",6,200,Manufaktur/Produksi,4350000.0
4327,Yogyakarta,Pegawai (non-manajemen & non-supervisor),1,0,1,1,0,0,0,0,0,0,0,0,Paruh Waktu,Makanan/Minuman/Pelayanan Restoran,Hotel/Restoran,",",,,Makanan & Minuman/Katering/Restoran,1200000.0
12280,Jakarta Raya,Manajer/Asisten Manajer,3,0,0,0,0,0,0,1,0,0,0,0,Penuh Waktu,Pemasaran/Pengembangan Bisnis,Penjualan / Pemasaran,"Asuransi kesehatan,Waktu regular, Senin - Jumat,Bisnis (contoh: Kemeja),BPJS,",27,500,Minyak/Gas/Petroleum,15000000.0
30784,Tangerang,Pegawai (non-manajemen & non-supervisor),1,0,0,0,0,0,0,1,0,0,0,0,Penuh Waktu,IT-Perangkat Lunak,Komputer/Teknologi Informasi,",",29,,Konsultasi (Bisnis & Manajemen),5000000.0
10920,Jakarta Selatan,Lulusan baru/Pengalaman kerja kurang dari 1 tahun,,0,0,0,0,0,0,1,0,0,0,0,Penuh Waktu,IT-Admin Jaringan/Sistem/Database,Komputer/Teknologi Informasi,"Asuransi kesehatan,Parkir,Waktu regular, Senin - Jumat,Bisnis (contoh: Kemeja),",26,200,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",10000000.0
15619,Bandung,Manajer/Asisten Manajer,5,1,0,0,0,0,0,0,0,0,0,0,Penuh Waktu,Makanan/Minuman/Pelayanan Restoran,Hotel/Restoran,"Asuransi kesehatan,Parkir,Waktu regular, Senin - Jumat,",22,200,Konsultasi (Bisnis & Manajemen),6500000.0
15158,Jakarta Barat,Supervisor/Koordinator,2,0,0,0,1,1,1,1,1,1,1,0,Penuh Waktu,IT-Admin Jaringan/Sistem/Database,Komputer/Teknologi Informasi,"Asuransi kesehatan,Penglihatan,Waktu regular, Senin - Jumat,",21,500,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",8500000.0
5961,Jakarta Selatan,Lulusan baru/Pengalaman kerja kurang dari 1 tahun,,0,0,0,1,1,1,1,0,0,0,0,Penuh Waktu,Pemasaran/Pengembangan Bisnis,Penjualan / Pemasaran,",",,,Umum & Grosir,4500000.0
27138,Bogor,Manajer/Asisten Manajer,3,0,0,0,0,0,0,1,0,0,0,0,Penuh Waktu,Manufaktur,Manufaktur,"Asuransi kesehatan,Waktu regular, Senin - Jumat,Bisnis (contoh: Kemeja),",15,200,Perawatan/Kecantikan/Fitnes,15000000.0
17914,Tangerang,Pegawai (non-manajemen & non-supervisor),1,0,0,0,1,1,1,0,0,0,0,0,Penuh Waktu,Pemasaran/Pengembangan Bisnis,Penjualan / Pemasaran,"Asuransi kesehatan,Jam Bekerja yang Panjang,Kasual (contoh: Kaos),",,200,Lainnya,3500000.0
13949,Jakarta Selatan,Pegawai (non-manajemen & non-supervisor),1,0,0,0,1,1,1,0,1,1,1,0,Penuh Waktu,Arsitek/Desain Interior,Bangunan/Konstruksi,"Asuransi kesehatan,Kasual (contoh: Kaos),",,50,Hiburan/Media,5000000.0
7918,Jakarta Timur,Manajer/Asisten Manajer,5,0,0,0,0,0,0,1,0,0,0,0,Penuh Waktu,Audit & Pajak,Akuntansi / Keuangan,"Asuransi kesehatan,Waktu regular, Senin - Jumat,Bisnis (contoh: Kemeja),",26,5000,Pendidikan,24000000.0
4473,Badung,Lulusan baru/Pengalaman kerja kurang dari 1 tahun,,0,1,1,0,0,0,0,0,0,0,0,Penuh Waktu,Telesales/Telemarketing,Penjualan / Pemasaran,",",,,Hiburan/Media,3575000.0
24092,Jakarta Raya,Pegawai (non-manajemen & non-supervisor),2,0,1,1,1,1,1,1,0,0,0,0,Kontrak,Penjualan - Korporasi,Penjualan / Pemasaran,"Asuransi kesehatan,Parkir,Waktu regular, Senin - Jumat,Bisnis (contoh: Kemeja),",28,200,Manufaktur/Produksi,6000000.0
28675,Jakarta Barat,Pegawai (non-manajemen & non-supervisor),2,1,0,0,0,0,0,0,0,0,0,0,Penuh Waktu,Digital Marketing,Penjualan / Pemasaran,"Tunjangan Pendidikan,Asuransi kesehatan,Bisnis (contoh: Kemeja),",7,50,Kesehatan/Medis,5150000.0
25894,Jakarta Raya,Pegawai (non-manajemen & non-supervisor),3,1,0,0,0,0,0,0,0,0,0,0,Penuh Waktu,Akuntansi Umum / Pembiayaan,Akuntansi / Keuangan,"Waktu regular, Senin - Jumat,Bisnis (contoh: Kemeja),",19,50,Umum & Grosir,6000000.0
2406,Bogor,Pegawai (non-manajemen & non-supervisor),1,0,1,1,0,0,0,0,0,0,0,0,Kontrak,Logistik/Rantai Pasokan,Pelayanan,"Tip,Asuransi kesehatan,Parkir,Waktu regular, Senin - Jumat,uniform,",28,200,Manufaktur/Produksi,3900000.0
13855,Jakarta Timur,Supervisor/Koordinator,1,0,0,0,0,0,0,1,0,0,0,0,Penuh Waktu,IT-Perangkat Lunak,Komputer/Teknologi Informasi,"Waktu regular, Senin - Jumat,Bisnis (contoh: Kemeja),",25,50,Komputer/Teknik Informatika (Perangkat Lunak),7000000.0
12581,Sidoarjo,Pegawai (non-manajemen & non-supervisor),1,0,0,0,0,0,0,1,0,0,0,0,Penuh Waktu,Seni / Desain Kreatif,Seni/Media/Komunikasi,"Penglihatan,Waktu regular, Senin - Jumat,Kasual (contoh: Kaos),",,50,Seni/Desain/Fashion,4075000.0
14653,Jakarta Raya,Pegawai (non-manajemen & non-supervisor),1,0,1,1,0,0,0,1,0,0,0,0,Penuh Waktu,Staf / Administrasi umum,Sumber Daya Manusia/Personalia,",",,,Lainnya,3250000.0
12462,Jakarta Barat,Pegawai (non-manajemen & non-supervisor),,1,0,0,0,0,0,0,0,0,0,0,Penuh Waktu,Digital Marketing,Penjualan / Pemasaran,,,,Retail/Merchandise,4000000.0
25862,Jawa Tengah,Pegawai (non-manajemen & non-supervisor),1,1,0,0,0,0,0,0,0,0,0,0,Penuh Waktu,Teknik Elektro,Teknik,"Kasual (contoh: Kaos),",,200,Manufaktur/Produksi,2750000.0
21848,Jakarta Utara,Pegawai (non-manajemen & non-supervisor),1,0,0,0,1,1,1,1,1,1,1,0,Penuh Waktu,Penjualan - Korporasi,Penjualan / Pemasaran,",",19,50,Manajemen/Konsulting HR,5500000.0
14242,Bandung,Pegawai (non-manajemen & non-supervisor),3,0,0,0,0,0,0,1,0,0,0,0,Penuh Waktu,Penjualan Ritel,Penjualan / Pemasaran,"Tunjangan Pendidikan,Asuransi kesehatan,Parkir,Kasual (contoh: Kaos),",25,50,Umum & Grosir,3750000.0
12812,Tangerang,Pegawai (non-manajemen & non-supervisor),2,1,0,0,0,0,0,0,0,0,0,0,Penuh Waktu,Teknik Sipil/Konstruksi Bangunan,Bangunan/Konstruksi,",",,,Industri Berat/Mesin/Peralatan,6000000.0
2583,Jakarta Timur,Pegawai (non-manajemen & non-supervisor),1,1,0,0,0,0,0,0,0,0,0,0,Penuh Waktu,Teknologi Makanan/Ahli Gizi,Sains,"Asuransi Gigi,Tip,Asuransi kesehatan,Waktu regular, Senin - Jumat,Kasual (contoh: Kaos),",22,5000,Produk Konsumen/Barang konsumen yang bergerak cepat,4800000.0
7839,Badung,Pegawai (non-manajemen & non-supervisor),3,0,1,1,1,1,1,1,0,0,0,0,Penuh Waktu,IT-Perangkat Lunak,Komputer/Teknologi Informasi,"Asuransi kesehatan,Waktu regular, Senin - Jumat,BPJS,Tidy casual,",5,200,Komputer/Teknik Informatika (Perangkat Lunak),13500000.0
12585,Jakarta Raya,Pegawai (non-manajemen & non-supervisor),1,0,0,0,1,1,1,1,1,1,1,0,Penuh Waktu,Penjualan - Korporasi,Penjualan / Pemasaran,",",19,50,Manajemen/Konsulting HR,7000000.0
15005,Bali,Pegawai (non-manajemen & non-supervisor),1,1,0,0,0,0,0,0,0,0,0,0,Penuh Waktu,Makanan/Minuman/Pelayanan Restoran,Hotel/Restoran,"Waktu regular, Senin - Jumat,Kasual (contoh: Kaos),",,200,Hiburan/Media,2500000.0
30645,Jakarta Raya,Lulusan baru/Pengalaman kerja kurang dari 1 tahun,2,0,0,0,0,0,0,1,0,0,0,0,Penuh Waktu,Pendidikan,Pendidikan/Pelatihan,"Waktu regular, Senin - Jumat,Formil (contoh: Kemeja + Dasi),",30,500,Pendidikan,4250000.0
5092,Semarang,Lulusan baru/Pengalaman kerja kurang dari 1 tahun,,0,1,1,1,1,1,1,0,0,0,0,Penuh Waktu,Seni / Desain Kreatif,Seni/Media/Komunikasi,",",,,Retail/Merchandise,2160000.0
2620,Aceh,Supervisor/Koordinator,3,0,1,1,1,1,1,1,0,0,0,0,Penuh Waktu,Digital Marketing,Penjualan / Pemasaran,",",,50,Makanan & Minuman/Katering/Restoran,10680000.0
11534,Kalimantan Barat,Pegawai (non-manajemen & non-supervisor),3,0,0,0,1,1,1,1,0,0,0,0,Penuh Waktu,Akuntansi Umum / Pembiayaan,Akuntansi / Keuangan,"Asuransi Gigi,Tip,Asuransi kesehatan,Waktu regular, Senin - Jumat,Bisnis (contoh: Kemeja),",29,1000,Agrikultural/Perkebunan/Peternakan Unggas/Perikanan,6000000.0
442,Jakarta Raya,Pegawai (non-manajemen & non-supervisor),2,0,0,0,0,0,0,1,0,0,0,0,Penuh Waktu,Pemasaran/Pengembangan Bisnis,Penjualan / Pemasaran,"Asuransi kesehatan,Waktu regular, Senin - Jumat,Bisnis (contoh: Kemeja),",17,2000,Produk Konsumen/Barang konsumen yang bergerak cepat,6500000.0
22013,Jakarta Raya,Pegawai (non-manajemen & non-supervisor),3,0,0,0,0,0,0,1,0,0,0,0,Penuh Waktu,IT-Perangkat Lunak,Komputer/Teknologi Informasi,"Kasual (contoh: Kaos),",15,500,Manufaktur/Produksi,8400000.0
17418,Yogyakarta,Pegawai (non-manajemen & non-supervisor),2,1,0,0,0,0,0,0,0,0,0,0,Penuh Waktu,Telesales/Telemarketing,Penjualan / Pemasaran,"Asuransi Gigi,Waktu regular, Senin - Jumat,Kasual (contoh: Kaos),",30,50,Kesehatan/Medis,2250000.0
6070,Sulawesi Tengah,Manajer/Asisten Manajer,10,0,0,0,0,0,0,1,1,1,1,0,Penuh Waktu,Sumber Daya Manusia / HR,Sumber Daya Manusia/Personalia,"Tip,Jam Bekerja yang Panjang,Uniform,",28,1000,Retail/Merchandise,12500000.0
20198,Jakarta Raya,Pegawai (non-manajemen & non-supervisor),2,1,0,0,0,0,0,0,0,0,0,0,Penuh Waktu,Logistik/Rantai Pasokan,Pelayanan,"Tunjangan Pendidikan,Asuransi kesehatan,Penglihatan,Bisnis (contoh: Kemeja),",,50,Transportasi/Logistik,5500000.0
28826,Jakarta Barat,Pegawai (non-manajemen & non-supervisor),1,0,0,0,1,1,1,1,0,0,0,0,Penuh Waktu,Pemasaran/Pengembangan Bisnis,Penjualan / Pemasaran,"Waktu regular, Senin - Jumat,Kasual (contoh: Kaos),",28,50,Pelayanan Arsitek/Desain Interior,4800000.0
3943,Jakarta Selatan,Pegawai (non-manajemen & non-supervisor),1,0,1,1,1,1,1,1,0,0,0,0,Penuh Waktu,Telesales/Telemarketing,Penjualan / Pemasaran,"Asuransi kesehatan,Waktu regular, Senin - Jumat,Kasual (contoh: Kaos),",16,500,Perbankan/Pelayanan Keuangan,4150000.0
21747,Purwakarta,Supervisor/Koordinator,1,1,0,0,0,0,0,0,0,0,0,0,Penuh Waktu,Makanan/Minuman/Pelayanan Restoran,Hotel/Restoran,"Tip,Asuransi kesehatan,Waktu regular, Senin - Jumat,",1,1000,Makanan & Minuman/Katering/Restoran,3975000.0
12470,Medan,Pegawai (non-manajemen & non-supervisor),2,0,0,0,1,1,1,1,1,1,1,0,Penuh Waktu,Pemasaran/Pengembangan Bisnis,Penjualan / Pemasaran,"Waktu regular, Senin - Jumat,Formil (contoh: Kemeja + Dasi),-,",29,50,Kesehatan/Medis,5750000.0
30486,Mojokerto,Manajer/Asisten Manajer,3,0,0,0,0,0,0,1,0,0,0,0,Kontrak,Pemasaran/Pengembangan Bisnis,Penjualan / Pemasaran,"Tunjangan Pendidikan,Asuransi kesehatan,Pinjaman,Jam Bekerja yang Panjang,Bisnis (contoh: Kemeja),",12,500,Elektrikal & Elektronik,12500000.0
21649,Bekasi,Pegawai (non-manajemen & non-supervisor),1,0,0,0,1,1,1,1,0,0,0,0,Penuh Waktu,Akuntansi Umum / Pembiayaan,Akuntansi / Keuangan,"Jam Bekerja yang Panjang,Kasual (contoh: Kaos),",,500,Makanan & Minuman/Katering/Restoran,3500000.0
10921,Jakarta Raya,Manajer/Asisten Manajer,5,0,0,0,0,0,0,1,1,1,1,0,Penuh Waktu,Teknik Sipil/Konstruksi Bangunan,Bangunan/Konstruksi,"Tunjangan Pendidikan,Asuransi kesehatan,Formil (contoh: Kemeja + Dasi),Monday - Saturday,",28,5000,Kesehatan/Medis,13800000.0
6879,Surabaya,Pegawai (non-manajemen & non-supervisor),2,0,0,0,0,0,0,1,0,0,0,0,Penuh Waktu,Penjualan - Korporasi,Penjualan / Pemasaran,"Waktu regular, Senin - Jumat,Bisnis (contoh: Kemeja),",29,50,Transportasi/Logistik,6500000.0
14296,Jawa Barat,Supervisor/Koordinator,,1,0,0,0,0,0,0,0,0,0,0,Kontrak,Pemasaran/Pengembangan Bisnis,Penjualan / Pemasaran,",",,,Lainnya,3000000.0
12008,Semarang,Pegawai (non-manajemen & non-supervisor),3,0,0,0,0,0,0,1,0,0,0,0,Penuh Waktu,Arsitek/Desain Interior,Bangunan/Konstruksi,"Tip,Asuransi kesehatan,Waktu regular, Senin - Jumat,Kasual (contoh: Kaos),",,50,Pelayanan Arsitek/Desain Interior,5250000.0
12413,Pasuruan,Supervisor/Koordinator,3,0,0,0,0,0,0,1,1,1,1,0,Penuh Waktu,Teknik Lingkungan,Teknik,"Seragam,",28,500,Tekstil/Garment,6000000.0
11546,Sulawesi Selatan,Supervisor/Koordinator,2,0,1,1,1,1,1,1,0,0,0,0,Penuh Waktu,Penjualan Ritel,Penjualan / Pemasaran,",",1,,Umum & Grosir,5160000.0
19704,Surabaya,Pegawai (non-manajemen & non-supervisor),2,0,0,0,0,0,0,1,0,0,0,0,Penuh Waktu,Penjualan Ritel,Penjualan / Pemasaran,"Asuransi kesehatan,Bisnis (contoh: Kemeja),",29,200,Minyak/Gas/Petroleum,4500000.0
29276,Jakarta Selatan,Manajer/Asisten Manajer,10,1,0,0,0,0,0,0,0,0,0,0,Penuh Waktu,Logistik/Rantai Pasokan,Pelayanan,"Asuransi kesehatan,Uniform,",28,1000,Retail/Merchandise,19200000.0
14172,Badung,Pegawai (non-manajemen & non-supervisor),2,0,0,0,1,1,1,0,0,0,0,0,Penuh Waktu,Penjualan - Jasa Keuangan,Penjualan / Pemasaran,"Tip,Asuransi kesehatan,Waktu regular, Senin - Jumat,Formil (contoh: Kemeja + Dasi),",27,1000,Perbankan/Pelayanan Keuangan,4800000.0
18996,Bekasi,CEO/GM/Direktur/Manajer Senior,5,0,0,0,0,0,0,1,0,0,0,0,Penuh Waktu,Manufaktur,Manufaktur,"Asuransi kesehatan,Bisnis (contoh: Kemeja),-,Senin - Sabtu,",29,1000,Manufaktur/Produksi,30000000.0
26782,Aceh,Supervisor/Koordinator,3,0,1,1,1,1,1,1,0,0,0,0,Penuh Waktu,Akuntansi Umum / Pembiayaan,Akuntansi / Keuangan,",",,50,Makanan & Minuman/Katering/Restoran,6000000.0
8544,Jakarta Selatan,Supervisor/Koordinator,3,0,0,0,1,1,1,0,0,0,0,0,Penuh Waktu,Pembelian/Manajemen Material,Manufaktur,"Tip,Asuransi kesehatan,Bisnis (contoh: Kemeja),Mondays-Saturdays,",,50,Manufaktur/Produksi,5000000.0
26924,Bogor,Manajer/Asisten Manajer,5,0,0,0,0,0,0,1,0,0,0,0,Kontrak,Akuntansi Umum / Pembiayaan,Akuntansi / Keuangan,"Waktu regular, Senin - Jumat,Bisnis (contoh: Kemeja),",19,200,Kesehatan/Medis,10500000.0
25002,Jakarta Raya,Pegawai (non-manajemen & non-supervisor),,0,0,0,1,1,1,1,0,0,0,0,Penuh Waktu,Teknik Elektro,Teknik,"Asuransi kesehatan,Waktu regular, Senin - Jumat,Bisnis (contoh: Kemeja),Jamsostek,",,200,Elektrikal & Elektronik,4725000.0
11636,Jakarta Timur,Pegawai (non-manajemen & non-supervisor),2,0,0,0,0,0,0,1,0,0,0,0,Penuh Waktu,Sumber Daya Manusia / HR,Sumber Daya Manusia/Personalia,"Asuransi Gigi,Tip,Asuransi kesehatan,Olahraga (contoh: pusat kebugaran),Parkir,Penglihatan,Waktu regular, Senin - Jumat,Bisnis (contoh: Kemeja),",29,500,Perbankan/Pelayanan Keuangan,5760000.0
