id,position,experience,e_none,e_sma,e_smu/smk/stm,e_sp,e_d3,e_d4,e_s1,e_dp,e_gp,e_s2,e_s3,gig1,gig2,industry,salary
4529,IDR,Pegawai,"SMA, SMU/SMK/STM",0,1,1,0,0,0,0,0,0,0,Penuh Waktu,"Penjualan / Pemasaran,Digital Marketing",Automobil/Mesin Tambahan Automotif/Kendaraan,3600000.0
5681,IDR,Pegawai,Sarjana (S1),0,0,0,0,0,0,1,0,0,0,Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Komputer/Teknik Informatika (Perangkat Lunak),6500000.0
18141,IDR,Pegawai,Tidak terspesifikasi,1,0,0,0,0,0,0,0,0,0,Penuh Waktu,"Penjualan / Pemasaran,Penjualan - Korporasi",Bahan Kimia/Pupuk/Pestisida,10000000.0
11259,IDR,Pegawai,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",0,1,1,1,1,1,1,0,0,0,Penuh Waktu,"Penjualan / Pemasaran,Penjualan Ritel",Automobil/Mesin Tambahan Automotif/Kendaraan,3105000.0
16901,IDR,Pegawai,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",0,1,1,1,1,1,1,0,0,0,Penuh Waktu,"Pelayanan,Layanan Pelanggan",Komputer/Teknik Informatika (Perangkat Lunak),2850000.0
8176,IDR,Manajer/Asisten,Tidak terspesifikasi,1,0,0,0,0,0,0,0,0,0,Penuh Waktu,"Layanan Kesehatan,Farmasi",Umum & Grosir,3000000.0
6920,IDR,Pegawai,Sarjana (S1),0,0,0,0,0,0,1,0,0,0,Penuh Waktu,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis","Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",6600000.0
23333,IDR,Pegawai,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",0,0,0,0,0,0,1,1,1,1,Penuh Waktu,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",Automobil/Mesin Tambahan Automotif/Kendaraan,7150000.0
19272,IDR,Pegawai,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",0,1,1,1,1,1,1,0,0,0,Penuh Waktu,"Penjualan / Pemasaran,Penjualan Ritel",Komputer/Teknik Informatika (Perangkat Keras),8000000.0
30060,IDR,Pegawai,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",0,0,0,1,1,1,1,0,0,0,Penuh Waktu,"Penjualan / Pemasaran,Penjualan - Korporasi",Umum & Grosir,8400000.0
28558,IDR,Pegawai,Sarjana (S1),0,0,0,0,0,0,1,0,0,0,Kontrak,"Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR",Umum & Grosir,4370000.0
18663,IDR,Supervisor/Koordinator,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",0,0,0,1,1,1,1,0,0,0,Kontrak,"Lainnya,Lainnya/Kategori tidak tersedia",Kesehatan/Medis,3600000.0
28312,IDR,Pegawai,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma)",0,1,1,1,1,1,0,0,0,0,Kontrak,"Penjualan / Pemasaran,Penjualan Ritel",Makanan & Minuman/Katering/Restoran,3250000.0
19594,IDR,Pegawai,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",0,1,1,1,1,1,1,0,0,0,Penuh Waktu,"Penjualan / Pemasaran,Penjualan Ritel",Manajemen/Konsulting HR,5000000.0
14241,IDR,Pegawai,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",0,0,0,1,1,1,1,0,0,0,Kontrak,"Manufaktur,Pembelian/Manajemen Material",Lingkungan/Kesehatan/Keamanan,4320000.0
27329,IDR,Pegawai,"SMA, SMU/SMK/STM",0,1,1,0,0,0,0,0,0,0,Penuh Waktu,"Sumber Daya Manusia/Personalia,Staf / Administrasi umum",Umum & Grosir,3600000.0
22690,IDR,CEO/GM/Direktur/Manajer,"Diploma Pascasarjana, Gelar Professional, Magister (S2)",0,0,0,0,0,0,0,1,1,1,Penuh Waktu,"Pelayanan,Logistik/Rantai Pasokan",,60000000.0
9324,IDR,Pegawai,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",0,0,0,1,1,1,1,0,0,0,Penuh Waktu,"Penjualan / Pemasaran,Penjualan - Jasa Keuangan",Asuransi,4100000.0
2578,IDR,Pegawai,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",0,0,0,1,1,1,1,0,0,0,Penuh Waktu,"Penjualan / Pemasaran,Penjualan - Jasa Keuangan",Perbankan/Pelayanan Keuangan,2880000.0
3694,IDR,Pegawai,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",0,0,0,0,0,0,1,1,1,1,Penuh Waktu,"Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR",Retail/Merchandise,5350000.0
24293,IDR,Pegawai,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",0,1,1,1,1,1,1,0,0,0,Kontrak,"Penjualan / Pemasaran,Penjualan Ritel",Elektrikal & Elektronik,4550000.0
23163,IDR,Pegawai,"SMA, SMU/SMK/STM",0,1,1,0,0,0,0,0,0,0,Kontrak,"Seni/Media/Komunikasi,Periklanan",Kesehatan/Medis,1150000.0
12033,IDR,Pegawai,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",0,0,0,1,1,1,1,0,0,0,Penuh Waktu,"Penjualan / Pemasaran,Penjualan Ritel",Kesehatan/Medis,3250000.0
9295,IDR,Pegawai,Tidak terspesifikasi,1,0,0,0,0,0,0,0,0,0,Penuh Waktu,"Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR",Manufaktur/Produksi,4350000.0
4327,IDR,Pegawai,"SMA, SMU/SMK/STM",0,1,1,0,0,0,0,0,0,0,Paruh Waktu,"Hotel/Restoran,Makanan/Minuman/Pelayanan Restoran",Makanan & Minuman/Katering/Restoran,1200000.0
12280,IDR,Manajer/Asisten,Sarjana (S1),0,0,0,0,0,0,1,0,0,0,Penuh Waktu,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",Minyak/Gas/Petroleum,15000000.0
30784,IDR,Pegawai,Sarjana (S1),0,0,0,0,0,0,1,0,0,0,Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Konsultasi (Bisnis & Manajemen),5000000.0
10920,IDR,Lulusan,Sarjana (S1),0,0,0,0,0,0,1,0,0,0,Penuh Waktu,"Komputer/Teknologi Informasi,IT-Admin Jaringan/Sistem/Database","Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",10000000.0
15619,IDR,Manajer/Asisten,Tidak terspesifikasi,1,0,0,0,0,0,0,0,0,0,Penuh Waktu,"Hotel/Restoran,Makanan/Minuman/Pelayanan Restoran",Konsultasi (Bisnis & Manajemen),6500000.0
15158,IDR,Supervisor/Koordinator,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",0,0,0,1,1,1,1,1,1,1,Penuh Waktu,"Komputer/Teknologi Informasi,IT-Admin Jaringan/Sistem/Database","Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",8500000.0
5961,IDR,Lulusan,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",0,0,0,1,1,1,1,0,0,0,Penuh Waktu,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",Umum & Grosir,4500000.0
27138,IDR,Manajer/Asisten,Sarjana (S1),0,0,0,0,0,0,1,0,0,0,Penuh Waktu,"Manufaktur,Manufaktur",Perawatan/Kecantikan/Fitnes,15000000.0
17914,IDR,Pegawai,"Sertifikat Professional, D3 (Diploma), D4 (Diploma)",0,0,0,1,1,1,0,0,0,0,Penuh Waktu,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",Lainnya,3500000.0
13949,IDR,Pegawai,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Diploma Pascasarjana, Gelar Professional, Magister (S2)",0,0,0,1,1,1,0,1,1,1,Penuh Waktu,"Bangunan/Konstruksi,Arsitek/Desain Interior",Hiburan/Media,5000000.0
7918,IDR,Manajer/Asisten,Sarjana (S1),0,0,0,0,0,0,1,0,0,0,Penuh Waktu,"Akuntansi / Keuangan,Audit & Pajak",Pendidikan,24000000.0
4473,IDR,Lulusan,"SMA, SMU/SMK/STM",0,1,1,0,0,0,0,0,0,0,Penuh Waktu,"Penjualan / Pemasaran,Telesales/Telemarketing",Hiburan/Media,3575000.0
24092,IDR,Pegawai,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",0,1,1,1,1,1,1,0,0,0,Kontrak,"Penjualan / Pemasaran,Penjualan - Korporasi",Manufaktur/Produksi,6000000.0
28675,IDR,Pegawai,Tidak terspesifikasi,1,0,0,0,0,0,0,0,0,0,Penuh Waktu,"Penjualan / Pemasaran,Digital Marketing",Kesehatan/Medis,5150000.0
25894,IDR,Pegawai,Tidak terspesifikasi,1,0,0,0,0,0,0,0,0,0,Penuh Waktu,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan",Umum & Grosir,6000000.0
2406,IDR,Pegawai,"SMA, SMU/SMK/STM",0,1,1,0,0,0,0,0,0,0,Kontrak,"Pelayanan,Logistik/Rantai Pasokan",Manufaktur/Produksi,3900000.0
13855,IDR,Supervisor/Koordinator,Sarjana (S1),0,0,0,0,0,0,1,0,0,0,Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Komputer/Teknik Informatika (Perangkat Lunak),7000000.0
12581,IDR,Pegawai,Sarjana (S1),0,0,0,0,0,0,1,0,0,0,Penuh Waktu,"Seni/Media/Komunikasi,Seni / Desain Kreatif",Seni/Desain/Fashion,4075000.0
14653,IDR,Pegawai,"SMA, SMU/SMK/STM, Sarjana (S1)",0,1,1,0,0,0,1,0,0,0,Penuh Waktu,"Sumber Daya Manusia/Personalia,Staf / Administrasi umum",Lainnya,3250000.0
12462,IDR,Pegawai,Tidak terspesifikasi,1,0,0,0,0,0,0,0,0,0,Penuh Waktu,"Penjualan / Pemasaran,Digital Marketing",Retail/Merchandise,4000000.0
25862,IDR,Pegawai,Tidak terspesifikasi,1,0,0,0,0,0,0,0,0,0,Penuh Waktu,"Teknik,Teknik Elektro",Manufaktur/Produksi,2750000.0
21848,IDR,Pegawai,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",0,0,0,1,1,1,1,1,1,1,Penuh Waktu,"Penjualan / Pemasaran,Penjualan - Korporasi",Manajemen/Konsulting HR,5500000.0
14242,IDR,Pegawai,Sarjana (S1),0,0,0,0,0,0,1,0,0,0,Penuh Waktu,"Penjualan / Pemasaran,Penjualan Ritel",Umum & Grosir,3750000.0
12812,IDR,Pegawai,Tidak terspesifikasi,1,0,0,0,0,0,0,0,0,0,Penuh Waktu,"Bangunan/Konstruksi,Teknik Sipil/Konstruksi Bangunan",Industri Berat/Mesin/Peralatan,6000000.0
2583,IDR,Pegawai,Tidak terspesifikasi,1,0,0,0,0,0,0,0,0,0,Penuh Waktu,"Sains,Teknologi Makanan/Ahli Gizi",Produk Konsumen/Barang konsumen yang bergerak cepat,4800000.0
7839,IDR,Pegawai,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",0,1,1,1,1,1,1,0,0,0,Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Komputer/Teknik Informatika (Perangkat Lunak),13500000.0
12585,IDR,Pegawai,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",0,0,0,1,1,1,1,1,1,1,Penuh Waktu,"Penjualan / Pemasaran,Penjualan - Korporasi",Manajemen/Konsulting HR,7000000.0
15005,IDR,Pegawai,Tidak terspesifikasi,1,0,0,0,0,0,0,0,0,0,Penuh Waktu,"Hotel/Restoran,Makanan/Minuman/Pelayanan Restoran",Hiburan/Media,2500000.0
30645,IDR,Lulusan,Sarjana (S1),0,0,0,0,0,0,1,0,0,0,Penuh Waktu,"Pendidikan/Pelatihan,Pendidikan",Pendidikan,4250000.0
5092,IDR,Lulusan,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",0,1,1,1,1,1,1,0,0,0,Penuh Waktu,"Seni/Media/Komunikasi,Seni / Desain Kreatif",Retail/Merchandise,2160000.0
2620,IDR,Supervisor/Koordinator,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",0,1,1,1,1,1,1,0,0,0,Penuh Waktu,"Penjualan / Pemasaran,Digital Marketing",Makanan & Minuman/Katering/Restoran,10680000.0
11534,IDR,Pegawai,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",0,0,0,1,1,1,1,0,0,0,Penuh Waktu,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan",Agrikultural/Perkebunan/Peternakan Unggas/Perikanan,6000000.0
442,IDR,Pegawai,Sarjana (S1),0,0,0,0,0,0,1,0,0,0,Penuh Waktu,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",Produk Konsumen/Barang konsumen yang bergerak cepat,6500000.0
22013,IDR,Pegawai,Sarjana (S1),0,0,0,0,0,0,1,0,0,0,Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Manufaktur/Produksi,8400000.0
17418,IDR,Pegawai,Tidak terspesifikasi,1,0,0,0,0,0,0,0,0,0,Penuh Waktu,"Penjualan / Pemasaran,Telesales/Telemarketing",Kesehatan/Medis,2250000.0
6070,IDR,Manajer/Asisten,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",0,0,0,0,0,0,1,1,1,1,Penuh Waktu,"Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR",Retail/Merchandise,12500000.0
20198,IDR,Pegawai,Tidak terspesifikasi,1,0,0,0,0,0,0,0,0,0,Penuh Waktu,"Pelayanan,Logistik/Rantai Pasokan",Transportasi/Logistik,5500000.0
28826,IDR,Pegawai,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",0,0,0,1,1,1,1,0,0,0,Penuh Waktu,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",Pelayanan Arsitek/Desain Interior,4800000.0
3943,IDR,Pegawai,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",0,1,1,1,1,1,1,0,0,0,Penuh Waktu,"Penjualan / Pemasaran,Telesales/Telemarketing",Perbankan/Pelayanan Keuangan,4150000.0
21747,IDR,Supervisor/Koordinator,Tidak terspesifikasi,1,0,0,0,0,0,0,0,0,0,Penuh Waktu,"Hotel/Restoran,Makanan/Minuman/Pelayanan Restoran",Makanan & Minuman/Katering/Restoran,3975000.0
12470,IDR,Pegawai,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",0,0,0,1,1,1,1,1,1,1,Penuh Waktu,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",Kesehatan/Medis,5750000.0
30486,IDR,Manajer/Asisten,Sarjana (S1),0,0,0,0,0,0,1,0,0,0,Kontrak,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",Elektrikal & Elektronik,12500000.0
21649,IDR,Pegawai,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",0,0,0,1,1,1,1,0,0,0,Penuh Waktu,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan",Makanan & Minuman/Katering/Restoran,3500000.0
10921,IDR,Manajer/Asisten,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",0,0,0,0,0,0,1,1,1,1,Penuh Waktu,"Bangunan/Konstruksi,Teknik Sipil/Konstruksi Bangunan",Kesehatan/Medis,13800000.0
6879,IDR,Pegawai,Sarjana (S1),0,0,0,0,0,0,1,0,0,0,Penuh Waktu,"Penjualan / Pemasaran,Penjualan - Korporasi",Transportasi/Logistik,6500000.0
14296,IDR,Supervisor/Koordinator,Tidak terspesifikasi,1,0,0,0,0,0,0,0,0,0,Kontrak,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",Lainnya,3000000.0
12008,IDR,Pegawai,Sarjana (S1),0,0,0,0,0,0,1,0,0,0,Penuh Waktu,"Bangunan/Konstruksi,Arsitek/Desain Interior",Pelayanan Arsitek/Desain Interior,5250000.0
12413,IDR,Supervisor/Koordinator,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",0,0,0,0,0,0,1,1,1,1,Penuh Waktu,"Teknik,Teknik Lingkungan",Tekstil/Garment,6000000.0
11546,IDR,Supervisor/Koordinator,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",0,1,1,1,1,1,1,0,0,0,Penuh Waktu,"Penjualan / Pemasaran,Penjualan Ritel",Umum & Grosir,5160000.0
19704,IDR,Pegawai,Sarjana (S1),0,0,0,0,0,0,1,0,0,0,Penuh Waktu,"Penjualan / Pemasaran,Penjualan Ritel",Minyak/Gas/Petroleum,4500000.0
29276,IDR,Manajer/Asisten,Tidak terspesifikasi,1,0,0,0,0,0,0,0,0,0,Penuh Waktu,"Pelayanan,Logistik/Rantai Pasokan",Retail/Merchandise,19200000.0
14172,IDR,Pegawai,"Sertifikat Professional, D3 (Diploma), D4 (Diploma)",0,0,0,1,1,1,0,0,0,0,Penuh Waktu,"Penjualan / Pemasaran,Penjualan - Jasa Keuangan",Perbankan/Pelayanan Keuangan,4800000.0
18996,IDR,CEO/GM/Direktur/Manajer,Sarjana (S1),0,0,0,0,0,0,1,0,0,0,Penuh Waktu,"Manufaktur,Manufaktur",Manufaktur/Produksi,30000000.0
26782,IDR,Supervisor/Koordinator,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",0,1,1,1,1,1,1,0,0,0,Penuh Waktu,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan",Makanan & Minuman/Katering/Restoran,6000000.0
8544,IDR,Supervisor/Koordinator,"Sertifikat Professional, D3 (Diploma), D4 (Diploma)",0,0,0,1,1,1,0,0,0,0,Penuh Waktu,"Manufaktur,Pembelian/Manajemen Material",Manufaktur/Produksi,5000000.0
26924,IDR,Manajer/Asisten,Sarjana (S1),0,0,0,0,0,0,1,0,0,0,Kontrak,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan",Kesehatan/Medis,10500000.0
25002,IDR,Pegawai,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",0,0,0,1,1,1,1,0,0,0,Penuh Waktu,"Teknik,Teknik Elektro",Elektrikal & Elektronik,4725000.0
11636,IDR,Pegawai,Sarjana (S1),0,0,0,0,0,0,1,0,0,0,Penuh Waktu,"Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR",Perbankan/Pelayanan Keuangan,5760000.0
11232,IDR,Supervisor/Koordinator,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",0,0,0,1,1,1,1,0,0,0,Penuh Waktu,"Pelayanan,Layanan Pelanggan",Retail/Merchandise,8400000.0
20323,IDR,Pegawai,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",0,0,0,1,1,1,1,0,0,0,Penuh Waktu,"Sumber Daya Manusia/Personalia,Sekretaris",Retail/Merchandise,6000000.0
20862,IDR,Supervisor/Koordinator,Tidak terspesifikasi,1,0,0,0,0,0,0,0,0,0,Penuh Waktu,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",Makanan & Minuman/Katering/Restoran,5500000.0
11013,IDR,Pegawai,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",0,1,1,1,1,1,1,0,0,0,Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Komputer/Teknik Informatika (Perangkat Lunak),4250000.0
4505,IDR,Supervisor/Koordinator,Tidak terspesifikasi,1,0,0,0,0,0,0,0,0,0,Penuh Waktu,"Teknik,Teknik Elektro",Manufaktur/Produksi,7000000.0
23468,IDR,CEO/GM/Direktur/Manajer,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",0,0,0,0,0,0,1,1,1,1,Penuh Waktu,"Manufaktur,Pembelian/Manajemen Material",Retail/Merchandise,36000000.0
23757,IDR,CEO/GM/Direktur/Manajer,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",0,1,1,1,1,1,1,0,0,0,Penuh Waktu,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan",Makanan & Minuman/Katering/Restoran,12000000.0
22645,IDR,Pegawai,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",0,0,0,1,1,1,1,0,0,0,Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Telekomunikasi,6750000.0
22058,IDR,Manajer/Asisten,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",0,0,0,1,1,1,1,0,0,0,Penuh Waktu,"Penjualan / Pemasaran,Penjualan Ritel",Manufaktur/Produksi,9000000.0
15138,IDR,Pegawai,Sarjana (S1),0,0,0,0,0,0,1,0,0,0,Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak","Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",5750000.0
4833,IDR,Pegawai,Sarjana (S1),0,0,0,0,0,0,1,0,0,0,Penuh Waktu,"Sumber Daya Manusia/Personalia,Staf / Administrasi umum",Telekomunikasi,5050000.0
13878,IDR,Pegawai,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",0,1,1,1,1,1,1,0,0,0,Penuh Waktu,"Penjualan / Pemasaran,Penjualan Ritel",Manajemen/Konsulting HR,3900000.0
27458,IDR,Pegawai,"Sertifikat Professional, D3 (Diploma), D4 (Diploma)",0,0,0,1,1,1,0,0,0,0,Penuh Waktu,"Penjualan / Pemasaran,Penjualan Ritel",Retail/Merchandise,5050000.0
10105,IDR,Supervisor/Koordinator,Sarjana (S1),0,0,0,0,0,0,1,0,0,0,Penuh Waktu,"Teknik,Teknik Elektro",Manajemen/Konsulting HR,8000000.0
29148,IDR,Pegawai,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",0,0,0,1,1,1,1,0,0,0,Penuh Waktu,"Manufaktur,Penjaminan Kualitas / QA",Manufaktur/Produksi,6250000.0
23907,IDR,Pegawai,Sarjana (S1),0,0,0,0,0,0,1,0,0,0,Penuh Waktu,"Manufaktur,Penjaminan Kualitas / QA",Komputer/Teknik Informatika (Perangkat Lunak),4000000.0
17244,IDR,Pegawai,Sarjana (S1),0,0,0,0,0,0,1,0,0,0,Penuh Waktu,"Komputer/Teknologi Informasi,IT-Admin Jaringan/Sistem/Database","Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",6750000.0
17959,IDR,Manajer/Asisten,"SMA, SMU/SMK/STM",0,1,1,0,0,0,0,0,0,0,Kontrak,"Penjualan / Pemasaran,Penjualan Ritel",Makanan & Minuman/Katering/Restoran,5400000.0
1526,IDR,Pegawai,"SMA, SMU/SMK/STM",0,1,1,0,0,0,0,0,0,0,Penuh Waktu,"Hotel/Restoran,Makanan/Minuman/Pelayanan Restoran",,2400000.0
26250,IDR,Supervisor/Koordinator,Sarjana (S1),0,0,0,0,0,0,1,0,0,0,Penuh Waktu,"Penjualan / Pemasaran,E-commerce",Seni/Desain/Fashion,6000000.0
6292,IDR,Pegawai,Sarjana (S1),0,0,0,0,0,0,1,0,0,0,Penuh Waktu,"Manufaktur,Pembelian/Manajemen Material",Pertambangan,5500000.0
13515,IDR,Supervisor/Koordinator,Tidak terspesifikasi,1,0,0,0,0,0,0,0,0,0,Penuh Waktu,"Bangunan/Konstruksi,Teknik Sipil/Konstruksi Bangunan",Properti/Real Estate,4000000.0
