id|job_title|location|salary_currency|career_level|experience_level|education_level|employment_type|job_function|job_benefits|company_process_time|company_size|company_industry|job_description
23671|Front - End Developer|Jakarta Pusat|IDR|Pegawai (non-manajemen & non-supervisor)|2 tahun|Sarjana (S1)|Penuh Waktu|Komputer/Teknologi Informasi,IT-Perangkat Lunak|Waktu regular, Senin - Jumat;Kasual (contoh: Kaos);Parking||1- 50 pekerja|Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)|Build well-designed and responsive website.Maintain and optimize existing code, improve web performance.Collaborate with designer, analysts, tester, other members in dev team, and stakeholders.Learn business process with stakeholders.Qualification :Bachelor’s degree in Information Technology, Computer Science, or Information System.Fully understand about SCSS, SPA (React/VueJS), PWA, and state management.Have experience developing HTML code from Sketch/Figma design systems.Having knowledge in TypeScript, Jest, and GraphQL is a plus.Able to collaborate in a team, attention to detail, and passionate in learning new things.Benefit :Compensation: Bonuses, Competitive salariesLifestyle: Casual dress codeProgression: Professional developmentWelfare: Health insurance, LaptopSend your CV to our email (See detail our Profile Company)===PT Drupadi Cipta TeknologiJl. Talang Betutu No. 21, Kb. Melati, Tanah Abang, Jakarta Pusat, DKI Jakarta 10230drupadi.id
16008|Videographer|Surabaya|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Seni/Media/Komunikasi,Seni / Desain Kreatif|Asuransi Gigi;Tip;Asuransi kesehatan;Pinjaman;Kasual (contoh: Kaos);Senin - Jum'at 08:00 - 16:30 WIB Sabtu 08:00 - 13:00 WIB|1 day|51 - 200 pekerja|Umum & Grosir|VideographerTanggung Jawab:-Membuat konten video ataupun potret yang baik bagi kepentingan sosial media, pemasaran dan periklanan-Melakukan pemilihan shoot dalam produksi video maupun potret-Mengelola, membuat dan menerbitkan konten-Mampu menentukan angle yang baik dalam mengambil potret ataupun video-Melakukan proses editing dengan memperhatikan tujuan pembuatan video, aspek-aspek estetika dan sisi teknis-Berkoordinasi dengan tim untuk memastikan video yang dibuat selesai tepat waktu serta memenuhi kriteria kualitas yang ditetapkan-Bertanggung jawab atas proses pra produksi - produksi - pasca produksiPersyaratan:-Minimal S1 diutamakan dari jurusan Design Grafis/Multimedia-Minimal memiliki pengalaman Minimal1 tahun di bidang yang sama-Menguasai penggunaan Social Media yang baik-Terbiasa membuat konten video untuk kepentingan pemasaran di instagram, tik tok maupun youtube-Fasih dalam menggunakan software edit video & design ( after effect, adobe premier/ final cut ) seperti Adobe Photoshop, Corel Draw, dan Illustrator-Mampu bekerja di bawah tekanan, dan tepat waktu
22802|Creative Design|Bandung|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Seni/Media/Komunikasi,Seni / Desain Kreatif|Tip;Asuransi kesehatan;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)|8 days|51 - 200 pekerja|Manufaktur/Produksi|Deliver message from content creator's brief to key visualProduce creative visual design for both digital and conventional media marketingCreate visual design for marketplace, social media, website, and mobile appsKeeping up with a fast-paced work environment and deliver visual design under tight deadlinesCommunicate effectively with creative and marketplace teamManage design file orderlyRequirement:At least have minimum 1 year experience in the same fieldWilling to work in Bandung areaCandidate must possess at least a Diploma or Bachelor's Degree in Art/Design/Creative Multimedia or equivalentMastering graphic design software (Adobe Photoshop, Adobe Illustrator, Adobe Indesign, Adobe Premier)Demonstrate graphic design skills with a strong portfolioA keen eye for aesthetics, details and visual compositionAble to work in a fast-paced environment- Excellent communication skillsEffective time management skillsStrong imagination and full of exciting creative ideasUp to date with the latest design trends, techniques, and technologies
12843|Calon Manager Konsultan Keuangan|Jakarta Raya|IDR|Supervisor/Koordinator|3 tahun|Tidak terspesifikasi|Penuh Waktu|Penjualan / Pemasaran,Penjualan - Jasa Keuangan||24 days|1- 50 pekerja|Akunting / Audit / Layanan Pajak|Calon Manager Konsultan KeuanganDouble/ Tripel kan pendapatan anda berkesempatan mendapatkan peluang karir, belajar secara berkesinambungan yang ditunjang oleh Digital Apps.Kami akan melatih untuk menjadi seorang Entrepreneur melalui pekerjaan aktivitas sehari hari sehingga mendapat peluang·        Bertumbuh secara pribadi dan pengembangan income yang pesat·        Mendapatkan keseimbangan antara bekerja dan waktu pribadi / keluarga·        Mendapatkan bridging/ jembatan income untuk perubahan karir dari yang sekarang. Dan perubahan yang menanjak di masa depan baik karir, kehidupan pribadi maupun waktu·        Bekerja dengan lingkungan yang nyaman dan aura yang positif dari sekitarnya·        Dilatih untuk menjadi seorang Leader Entrepreneurship·        Memiliki kesempatan untuk mendapatkan pembelajaran yang relevan dan program pengembangan diri·        Memiliki kesempatan diberikan tantangan untuk berkembang·        Ditunjang oleh Digital App sehingga bisa bekerja /aktivitas dari mana saja·        Senang melayani dan memberikan service yang bagus·        Diberikan pelatihan dalam knowledge maupun skill untuk menjadi modal /mental seorang EntrepreneurKeuntungan:·        Income yang maju pesat dalam waktu singkat·        Mendapat kesempatan untuk menjadi manager dalam waktu 1 tahun dengan mendapatkan bimbingan secara berkesinambungan·        Karir yang menantang dalam waktu cepat
1318|Purchasing Manager (Oil and Gas Industry Only) (Jakarta Based)|Jakarta Raya|IDR|Manajer/Asisten Manajer|8 tahun|Sarjana (S1)|Penuh Waktu|Manufaktur,Pembelian/Manajemen Material||28 days|1- 50 pekerja|Manajemen/Konsulting HR|Reports to VP (QHSE & Equipment & Procurement)Job Summary:Purchasing Manager is responsible for sourcing goods and services and managing suppliers.Main Responsibilities:Responsible for Purchase related job.Implementing the instruction/Regulation/Procedure related Purchasing from HQ.Setting up SOP/Standard template of Purchasing related work.Maintaining and updating the data base of qualified suppliers.Evaluating and confirming the new suppliers’ application (to be our qualified suppliers).Performing the supplier's annual audit.Responsible for import/export certificate.General Responsibilities:Assisting Services Division to negotiate with suppliers (if requested).Assisting Services Division to review the agreement/contract from suppliers (if requested).Responsible for import/export certificate.Maintaining good relationship with related government.Completing related task assigned by VP Operations.Responsible for identifying the potential HSE risk around the working area then report itwith QHSE Activity Card at least one card in a month.Fully support all the content of QHSE Policy.Responsible in Emergency Response Plan.Requirements:Minimum Bachelor’s Degree (preferably in supply chain management or purchasing or business or economics or logistics).Proven working experience as purchasing manager.Excellent written and oral communication skills in English.Strong leadership capabilities.Strong negotiation and relationship management skills as well as decision making and planning skills.Strong logistics and export import skills.Must be from Oil and Gas IndustryComputer: excellent with Microsoft word, excel and power point.
5342|Dokter Penelitian|Bekasi|IDR|Supervisor/Koordinator|1 tahun|Sarjana (S1)|Kontrak|Layanan Kesehatan,Diagnosa/Lainnya|||||Jonbdesk :Follow up subjekBikin laporan KIPIBIkin laporan pasien yg positif covidRequirements :Pendidikan Profesi DokterUmur Max 35 tahunMemiliki STR aktifCekatan, Jujur dan TelitiSehat jasmani dan rohaniKontrak 3 Bulan AwalPenempatan Di salah Satu Rumah Sakit Wilayah Bekasi Timur
19589|Java Developer|Jakarta Selatan|IDR|Pegawai (non-manajemen & non-supervisor)|3 tahun|Tidak terspesifikasi|Kontrak|Komputer/Teknologi Informasi,IT-Perangkat Lunak|Asuransi Gigi;Asuransi kesehatan;Parkir;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)|21 days|51 - 200 pekerja|Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)|Responsibilities:Manage multiple services throughout the entire product life cycle, including technical design, code reviews, testing driven dev, deployment, documentation and analyze production issues .Pair with other team members on functional and non-functional requirements.Job Requirement:Strong knowledge in Java, spring (MVC, IOC, and AOP), RESTFUL Web services.Having good knowledge and experience in Core JAVA, Spring, Hibernate, Servelets, Web services, Restfull, OOPS Concepts, Multithreading, Hibernate.Experience working knowledge on web servicesShould have worked in distributed agile model and continuous integrationShould have knowledge on designing and implementation of REST Web servicesStrong experience with REST API and web servicesShould be efficient with Java J2EE and related technologies.Experience in Agile methodology.Preferred have knowledge Git with Branch and Release Management.Preferred have worked experience with Postgres DB / MS SQL Server.Experience in developing micro service using Spring Boot.
20217|Pharmacist|Jakarta Raya|IDR|Lulusan baru/Pengalaman kerja kurang dari 1 tahun||Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Layanan Kesehatan,Farmasi|Asuransi kesehatan;Waktu regular, Senin - Jumat;Formil (contoh: Kemeja + Dasi)|28 days|201 - 500 pekerja|Kesehatan/Medis|Candidate must possess at least a Diploma, Bachelor's Degree, Pharmacy/Pharmacology or equivalent.No work experience required.250 Full-Time position(s) available.
26301|Assistant Head FAT|Jakarta Barat|IDR|Pegawai (non-manajemen & non-supervisor)|2 tahun|Sarjana (S1)|Penuh Waktu|Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan|Asuransi kesehatan;Parkir;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)|23 days|1001 - 2000 pekerja|Makanan & Minuman/Katering/Restoran|Kami adalah group perusahaan manufaktur dan distributor produk F&B (alcohol,non-alcohol), food service, hospitality & perkebunan, sedang membuka posisi Assistant Head FAT dengan kualifikasi sebagai berikut:Kualifikasi :Usia maksimal 30 tahunPendidikan minimal S1 jurusan AkuntansiMemiliki pengalaman dibidang terkait minimal 2 tahunMampu bekerjasama dalam timMemiliki kemampuan untuk mengoperasikan Ms. ExcelMemiliki kemampuan untuk mengoperasikan AccuratePekerja keras, teliti, jujur, dan bertanggung jawabMemiliki pengetahuan atas laporan keuangan dengan baikDeskripsi Pekerjaan :Melakukan review dan analisa atas laporan keuanganMemeriksa pencatatan jurnal pembukuanMemonitor laporan closing bulananMengawasi operasional harian financeMengontrol inventory dan COGSMelakukan stock dan cash opname bulananMengarahkan accounting team untuk sesuai dengan standar accounting yang berlaluBenefit :Gaji PokokAsuransi KesehatanBPJS KetenagakerjaanTHRUang MakanTunjangan Transportasidan Tunjangan Lainnya
19678|Jewellery Consultant (Sales) - Trans Mall Cibubur|Jakarta Timur|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)|Kontrak|Penjualan / Pemasaran,Penjualan Ritel|Waktu regular, Senin - Jumat;BPJS, PPH21;Smart Casual|15 days|1001 - 2000 pekerja|Retail/Merchandise|RESPONSIBILITY :Sales marketingAchieve selling targetExplain product to the customerHandling customer complainInteresting compensations, benefits, and bonusREQUIREMENTS:Maximum 35 years old.Minimal D3/S1 (any field).At least 1 year(s) of working experience in sales marketing (Fresh Graduate are welcome to apply).Willing to be placed at Trans Studio Mall CibuburWilling to work in shift hours (Mall Operational Hours) and willing to work 6 days a week (Including Saturday, Sunday & Public Holiday, 1 day off on weekday).Target Oriented, Good Interpersonal Skill & Good looking.
16803|Procurement / Purchasing|Jakarta Raya|IDR|Pegawai (non-manajemen & non-supervisor)|2 tahun|Sarjana (S1)|Kontrak|Manufaktur,Pembelian/Manajemen Material|Asuransi kesehatan;Bisnis (contoh: Kemeja);Shift|25 days|201 - 500 pekerja|Hotel/Pariwisata|Kualifikasi:Pendidikan minimal S1 semua jurusan.Menguasai pengetahuan mengenai material bangunan & peralatan interior.Pengalaman minimal 2 tahun dalam bidang pengadaan alat & material untuk kebutuhan kontraktor & interior.Memiliki wawasan luas mengenai supplier & vendor untuk pekerjaan arsitektur dan interiorMampu berkomunikasi & bernegosiasi dengan supplier & vendorJujur, disiplin, bertanggung jawab, teliti.Deskripsi Pekerjaan:Mencari, memilih dan menentukan vendor sesuai kebutuhan projectMelakukan negosiasi harga, layanan dan waktu pengiriman material dengan supplier/vendor.Melakukan penjadwalan dan pemantauan pengiriman material ke outlet.Memastikan barang/material yang dibeli tiba dengan tepat waktu dan dalam kondisi yg sesuai.Menjalin hubungan yang baik dengan supplier & vendor.
20376|GA dan LEGAL|Jawa Tengah|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|Tidak terspesifikasi|Penuh Waktu|Pelayanan,Pengacara / Asisten Legal|Kasual (contoh: Kaos)||51 - 200 pekerja|Manufaktur/Produksi|Requirement:1.            Usia 25-40 tahun2.            Pengalaman kerja minimal 1 tahun3.            Memiliki kemampuan mengoperasikan computer/laptop (familiar dengan Internet, MS Words, MS Outlook, MS Excel).4.            Teliti dan memiliki kemampuan untuk menganalisa5.            Jujur, berkomitmen, konsisten dan memiliki motivasi yang tinggi.6.            Pekerja keras, dapat bekerja di bawah tekanan, aktif, dan multitasking.7.            Memahami peraturan – peraturan terkait perusahaan manufacturing furniture dan operasionalnyaJob Descriptions:1.     Membuat dan melakukan review draft kontrak, perjanjian hukum, atau hal-hal yang berkaitan dengan hukum2.     Mendokumentasikan dan menyimpan semua dokumen yang terkait dengan hukum3.     Memberikan feedback atau opini pada proses review, koreksi, dan diskusi yang berkaitan dengan hukum4.     Menyediakan dan mengelola hal-hal yang berkaitan dengan general affair seperti office supplies, dan lain sebagainya5.     Mengurus kebutuhan operasional perusahaan6.     Menangani komplain terkait sarana dan prasarana perusahaan7.     Menjalin hubungan kerja dengan karyawan maupun vendor8.     Melakukan pendataan dan pemeliharaan asset9.     Melakukan tugas lainnya untuk posisi General Affair
16598|Driver B1|Tangerang|IDR|Pegawai (non-manajemen & non-supervisor)|2 tahun|SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Kontrak|Lainnya,Pekerjaan Umum|Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)||51 - 200 pekerja|Umum & Grosir|Kualifikasi:Usia maksimal 40 tahun.Pendidikan: SMA, SMK & Sederajat.Memiliki SIM B1.Memiliki SKCK terbaru.Memiliki pengalaman selama minimal 2 tahun sebagai driver di perusahaan logistik/Suply Chain.Sehat jasmani & rohani.Memiliki komunikasi & Interpersonal yang baik.Mampu bekerja sebagai team.Familiar daerah JABODETABEK.Berdomisili di Tangerang - Banten.Ditempatkan di lokasi Dadap - Banten Tangerang.Tugas & Tanggung Jawab:Bertanggung jawab melakukan pengiriman barang.Menjaga kuantitas dan kualitas dari barang yang dikirimkan.Bertanggung jawab atas kendaraan mobil inventaris perusahaan.Bertanggung jawab membawa barang yang diberikan dari outlet ke gudang logistik (atau sebaliknya).Membantu jalannya proses loading dan bongkar muat barang.
